['[Sun', 'Dec', '04', '04:47:44', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:59:38', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:59:38', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:00:09', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:00:15', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:00:15', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:04:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '05:04:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:04:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '05:04:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '05:04:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '05:04:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:04:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:12:10', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:12:28', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:12:28', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:12:30', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:15:09', '2005]', '[error]', '[client', '222.166.160.184]', 'Directory', 'index', 'forbidden', 'by', 'rule:', '/var/www/html/'] 
['[Sun', 'Dec', '04', '05:15:16', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:01:30', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:02:02', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:02:07', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:02:07', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:02:07', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:02:07', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:06:12', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:06:12', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:06:26', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:06:26', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:06:26', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:12:40', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:12:40', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:12:40', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:12:40', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:12:40', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:13:01', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:16:23', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:16:23', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:16:23', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:16:39', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:17:05', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:17:24', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:17:35', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:17:35', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:18:11', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:18:11', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:18:31', '2005]', '[error]', 'sdf6:18:39', '2005]', '[notice]', 'jk2_init()', 'Found', 'child', '32446', 'in', 'scoreboard', 'slot', '6'] 
['[Sun', 'Dec', '04', '06:18:55', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:18:55', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:19:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:19:34', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:19:34', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:20:46', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:20:46', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:20:46', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '8'] 
['[Sun', 'Dec', '04', '06:22:55', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:22:55', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:22:55', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:22:55', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '8'] 
['[Sun', 'Dec', '04', '06:23:15', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:30:43', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:36:10', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:36:10', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:41:07', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:41:08', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:41:08', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:41:46', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:41:46', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:42:30', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:42:30', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:42:58', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:42:58', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:43:40', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:43:40', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:45:57', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:46:31', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:46:33', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '8'] 
['[Sun', 'Dec', '04', '06:46:34', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '10'] 
['[Sun', 'Dec', '04', '06:46:34', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '8'] 
['[Sun', 'Dec', '04', '06:47:43', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:49:24', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '8'] 
['[Sun', 'Dec', '04', '06:51:23', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:51:23', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:51:23', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '8'] 
['[Sun', 'Dec', '04', '06:51:23', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:51:26', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '9'] 
['[Sun', 'Dec', '04', '06:52:15', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:52:15', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:52:41', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '9'] 
['[Sun', 'Dec', '04', '06:52:41', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:53:26', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:55:23', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:55:23', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '8'] 
['[Sun', 'Dec', '04', '06:55:23', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '9'] 
['[Sun', 'Dec', '04', '06:56:17', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:57:23', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:57:23', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:57:23', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '9'] 
['[Sun', 'Dec', '04', '06:57:23', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '8'] 
['[Sun', 'Dec', '04', '06:57:24', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '9'] 
['[Sun', 'Dec', '04', '06:58:29', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:58:29', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:58:53', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:59:40', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:59:47', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '8'] 
['[Sun', 'Dec', '04', '06:59:47', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '07:02:03', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '9'] 
['[Sun', 'Dec', '04', '07:02:03', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '8'] 
['[Sun', 'Dec', '04', '07:02:03', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '8'] 
['[Sun', 'Dec', '04', '07:02:03', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '07:02:03', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '07:07:30', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '9'] 
['[Sun', 'Dec', '04', '07:07:30', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '10'] 
['[Sun', 'Dec', '04', '07:07:30', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '8'] 
['[Sun', 'Dec', '04', '07:08:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '07:08:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '07:08:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '04:47:44', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:51:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:51:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:51:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:51:55', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:52:15', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:52:15', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '04:52:15', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '04:52:52', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '04:52:52', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:53:16', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '04:53:16', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:53:54', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '04:54:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:54:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:54:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '04:54:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '04:54:20', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:56:59', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:57:00', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:57:24', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:57:24', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:58:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:58:58', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:59:38', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:59:38', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:00:09', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:00:15', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:00:15', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:04:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '05:04:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:04:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '05:04:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '05:04:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '05:04:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:04:04', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:12:10', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:12:28', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:12:28', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:12:30', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '05:15:09', '2005]', '[error]', '[client', '222.166.160.184]', 'Directory', 'index', 'forbidden', 'by', 'rule:', '/var/www/html/'] 
['[Sun', 'Dec', '04', '05:15:16', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:01:30', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:02:02', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:02:07', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:02:07', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:02:07', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:02:07', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:06:12', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:06:12', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:06:26', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:06:26', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:06:26', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:12:40', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:12:40', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:12:40', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '06:12:40', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '06:12:40', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
